"","datetime","pageNum","product_id","product","price","area","tag","reviewCount","producer_id","producer","hasGAP","hasOrganic","hasNoPesticide","hasJAS"
"1",2022-10-24 16:35:57,1,170910,"もはや主役！香りも味も食欲をそそる薬味用白ネギ(1kg)",1000,"島根県大田市長久町","農薬化学肥料不使用            ",7,27587,"ファームしみず","no_GAP","no_Organic","no_NoPesticide","noJAS"
"2",2022-10-24 16:35:57,1,63574,"【日テレ　ヒルナンデスで紹介！】紅はるか（5kg）熟成１ヵ月超えでお届け！(茨城県産)・(サツマイモ)(<U+216F>～２Lサイズ)(土付き)",2500,"茨城県ひたちなか市","農薬節約栽培            ",136,22683,"二川農園","no_GAP","no_Organic","no_NoPesticide","noJAS"
"3",2022-10-24 16:35:57,1,121135,"魂のほうれん草1kg（7袋）　　　　　　　　　　ハウス栽培佐賀脊振山麓産(￣▽￣)",1600,"佐賀県神埼市脊振町","農薬節約栽培            ",202,24495,"とんぼ農園","no_GAP","no_Organic","no_NoPesticide","noJAS"
"4",2022-10-24 16:35:57,1,52463,"【イチオシBOX】5.0kgシルクスイート熟成1ヶ月!!幻のさつまいも!!激甘シルクスイート　農家直送",2000,"宮崎県都城市","慣行栽培            ",53,22239,"さつまいもの山下農園","no_GAP","no_Organic","no_NoPesticide","noJAS"
"5",2022-10-24 16:35:57,1,158593,"【火曜日出荷分】高原野菜セット",3400,"長野県佐久市","農薬化学肥料不使用            ",9,26,"くさぶえ農園","no_GAP","no_Organic","no_NoPesticide","noJAS"
"6",2022-10-24 16:35:57,1,159082,"【紅はるか】5.0kg熟成1ヶ月!!しっとり激甘さつまいも!!熟成30日以上で甘さ倍増!農家直送S.M.L混合",2000,"宮崎県都城市","慣行栽培            ",11,22239,"さつまいもの山下農園","no_GAP","no_Organic","no_NoPesticide","noJAS"
"7",2022-10-24 16:35:57,1,158622,"【金曜日出荷分】高原野菜セット",3400,"長野県佐久市","農薬化学肥料不使用            ",12,26,"くさぶえ農園","no_GAP","no_Organic","no_NoPesticide","noJAS"
"8",2022-10-24 16:35:57,1,115339,"サラダほうれん草",2200,"和歌山県橋本市","農薬節約栽培            ",30,25541,"きのくに農業村","no_GAP","no_Organic","no_NoPesticide","noJAS"
"9",2022-10-24 16:35:57,1,165385,"【送料無料！11月発送】フードロス商品！野辺山ほうれん草カレーペースト（一瓶250g、4，5人前）【3個セット】",3000,"長野県南佐久郡南牧村","慣行栽培            ",0,23583,"アグレス","no_GAP","no_Organic","no_NoPesticide","noJAS"
"10",2022-10-24 16:35:57,1,171716,"【12月上旬発送予約】甘くてトロトロ！三瓶町志学産の白ネギ(３kg)",2160,"島根県大田市三瓶町志学","慣行栽培            ",0,27676,"<U+00020BB7>野屋","no_GAP","no_Organic","no_NoPesticide","noJAS"
"11",2022-10-24 16:35:57,1,83483,"【キノコ村】”らくちん”でおいしいキノコ加工品セット《おがこ栽培》",3628,"長野県須坂市","農薬化学肥料不使用            ",5,24009,"キノコ村","no_GAP","no_Organic","no_NoPesticide","noJAS"
"12",2022-10-24 16:35:57,1,169236,"ジュエリーコーン（グラスジェムコーン）皮なしタイプ10本　【2２年新色】お店のディスプレイ、イテリアに、飾りかたは工夫しだい",3300,"長野県諏訪郡原村","農薬節約栽培            ",0,21696,"八ケ岳　池田農園","no_GAP","no_Organic","no_NoPesticide","noJAS"
"13",2022-10-24 16:35:57,1,167553,"ビーツパウダー70g(農薬化学肥料不使用）",1380,"島根県大田市","農薬化学肥料不使用            ",0,21475,"KyoudaiFarm","no_GAP","no_Organic","no_NoPesticide","noJAS"
"14",2022-10-24 16:35:57,1,167554,"お得なビーツパウダー70g×3袋セット(農薬化学肥料不使用)",3900,"島根県大田市","農薬化学肥料不使用            ",0,21475,"KyoudaiFarm","no_GAP","no_Organic","no_NoPesticide","noJAS"
"15",2022-10-24 16:35:57,1,168778,"【送料無料】食用菊『かきのもと』☆食べれるお花☆秋にしか味わえないシャキシャキ食感！どうぞお楽しみくださ～い♪(´▽｀)【1kg】",3000,"新潟県新潟市","慣行栽培            ",0,24317,"農家の嫁ファーム","no_GAP","no_Organic","no_NoPesticide","noJAS"
"16",2022-10-24 16:35:57,1,166305,"【家計応援キャンペーン!!】ほどよい甘さが美味しいアイコ【1kg】",1000,"栃木県宇都宮市","農薬化学肥料不使用            ",9,21114,"フジワラアグリコルトゥーラ","no_GAP","no_Organic","no_NoPesticide","noJAS"
"17",2022-10-24 16:35:57,1,155022,"農薬化学肥料不使用　じゃがいも（キタアカリ）７ｋｇ",3350,"長野県阿南町","農薬化学肥料不使用            ",0,23523,"さわんど","no_GAP","no_Organic","no_NoPesticide","noJAS"
"18",2022-10-24 16:35:57,1,162305,"さつまいも（紅はるか）【３週間ほど貯蔵済】Mサイズ　5kg",2200,"愛知県一宮市","慣行栽培            ",18,27476,"さかい農園","no_GAP","no_Organic","no_NoPesticide","noJAS"
"19",2022-10-24 16:35:57,1,63203,"《旨みたっぷり》新鮮とれたて！シシリアンルージュ(1.4㎏)",1663,"千葉県八街市","農薬節約栽培            ",83,21276,"げんき農場","no_GAP","no_Organic","no_NoPesticide","noJAS"
"20",2022-10-24 16:35:57,1,158279,"<U+2B55><U+FE0F>至福の極甘ネギ<U+2757><U+FE0F><U+2757><U+FE0F>秋冬(ホワイト)<U+2728>超極太3Lｻｲｽﾞ15本約4.2kg<U+2728>信州産<U+2728>【特別栽培】<U+2728>【無消毒栽培】",2480,"長野県飯田市","農薬節約栽培            ",16,22508,"信州高原やさいの気持ち","no_GAP","no_Organic","no_NoPesticide","noJAS"
"21",2022-10-24 16:35:57,1,73190,"《日テレ　ヒルナンデスで紹介！》蔵出し紅はるかの平干し芋（1kg）【リピーター続出】ねっとり甘い自然のスイーツ！",3000,"茨城県ひたちなか市","農薬節約栽培            ",72,22683,"二川農園","no_GAP","no_Organic","no_NoPesticide","noJAS"
"22",2022-10-24 16:35:57,1,11550,"標高800mで育った高原野菜S(9-10品目)野菜セットS",2500,"長野県佐久市","農薬化学肥料不使用            ",80,20184,"みまきはらファーム","no_GAP","no_Organic","no_NoPesticide","noJAS"
"23",2022-10-24 16:35:57,1,16020,"【淡路島和田農園】淡路島玉ねぎ　5kgM～LLサイズ",1600,"兵庫県南あわじ市","農薬節約栽培            ",508,20272,"和田農園","no_GAP","no_Organic","no_NoPesticide","noJAS"
"24",2022-10-24 16:35:57,1,63834,"濃厚な旨味！酸味・甘味のバランス抜群！最高峰のミニトマト『フォレストフルティカ』1kg×1箱",1600,"富山県富山市","農薬節約栽培            ",75,22360,"富山環境整備","no_GAP","no_Organic","no_NoPesticide","noJAS"
"25",2022-10-24 16:35:57,1,167796,"【大人気番組『ヒルナンデス！』で紹介<U+2661>】女性さつまいも農家が作るこだわりさつまいも【茨城県産シルクスイート(土付き)Mサイズ５kg】",2600,"茨城県ひたちなか市","農薬節約栽培            ",2,26270,"ヤマブキファーム","no_GAP","no_Organic","no_NoPesticide","noJAS"
"26",2022-10-24 16:35:57,1,52823,"丹波産　自然栽培黒枝豆（1kg）500g×2袋",2450,"兵庫県丹波市市島町","自然栽培            ",18,20553,"鴨庄村のりょう農園","no_GAP","no_Organic","no_NoPesticide","noJAS"
"27",2022-10-24 16:35:57,1,164855,"【ゆでたらおいしい”生“落花生】八街産どろ付き”おおまさり“【500g】",1000,"千葉県八街市","慣行栽培            ",1,26865,"アグリヨシノ","no_GAP","no_Organic","no_NoPesticide","noJAS"
"28",2022-10-24 16:35:57,1,85578,"随時発送【まるでフルーツ！薄皮新食感！】""ももちゃんトマト""(0.7k)",1500,"鹿児島県肝属郡南大隅町","農薬節約栽培            ",182,21343,"根占グリーンプラネット","no_GAP","no_Organic","no_NoPesticide","noJAS"
"29",2022-10-24 16:35:57,1,73035,"鮮度抜群！ゴウツクレソン500g　シャキシャキ食感のスーパーフード【レシピ付き】",1512,"島根県江津市","農薬節約栽培            ",163,23524,"ＧＰＡファーム","no_GAP","no_Organic","no_NoPesticide","noJAS"
"30",2022-10-24 16:35:57,1,78437,"【期間限定】やみつきになる旨さ！けいちゃんの丹波黒枝豆（莢）（1kg）",1940,"兵庫県多可郡多可町","農薬節約栽培            ",1,23755,"七代目藤岡農場","no_GAP","no_Organic","no_NoPesticide","noJAS"
"31",2022-10-24 16:35:57,1,47817,"【農薬：栽培期間中不使用】あまーい安納芋5ｋｇ【三重県御浜町産】",3200,"三重県南牟婁郡御浜町","農薬化学肥料不使用            ",28,22011,"BrightLife","no_GAP","no_Organic","no_NoPesticide","noJAS"
"32",2022-10-24 16:35:57,1,76978,"『お試し』お待たせしました／　淡路島スイートオニオン　淡路島産玉ねぎ2.5ｋｇ",1200,"兵庫県南あわじ市","農薬節約栽培            ",150,21100,"KR.vegetable","no_GAP","no_Organic","no_NoPesticide","noJAS"
"33",2022-10-24 16:35:57,1,111889,"【予約】ねっとり極蜜！あま～いサツマイモ鹿児島県産紅はるか（５kg）☆訳あり品☆サイズ混合",1998,"鹿児島県阿久根市","慣行栽培            ",11,25286,"グッドフィールド","no_GAP","no_Organic","no_NoPesticide","noJAS"
"34",2022-10-24 16:35:57,1,119199,"貯蔵1か月超　さつまいも【紅はるか】S～Mサイズ5㎏",1980,"栃木県宇都宮市","農薬節約栽培            ",14,25732,"リンク","no_GAP","no_Organic","no_NoPesticide","noJAS"
"35",2022-10-24 16:35:57,1,73968,"【初回限定BOX】使いやすいお野菜セット※おススメレシピ付き<U+203C>",2500,"千葉県我孫子市","農薬化学肥料不使用            ",62,73,"ベジLIFE!!","no_GAP","no_Organic","no_NoPesticide","noJAS"
"36",2022-10-24 16:35:57,1,61764,"《予約販売》蔵出し紅はるかの丸干し芋（1kg）【リピーター続出】もっちり甘い自然のスイーツ！",3800,"茨城県ひたちなか市","農薬節約栽培            ",64,22683,"二川農園","no_GAP","no_Organic","no_NoPesticide","noJAS"
"37",2022-10-24 16:35:57,1,143544,"【お得BOX】熟成!!蜜焼き芋(2㎏)<U+203C>ねっとり甘い♪つぼ焼き芋　さつまいもサツマイモ",3380,"茨城県石岡市","農薬節約栽培            ",8,26541,"甘藷農園　燈屋","no_GAP","no_Organic","no_NoPesticide","noJAS"
"38",2022-10-24 16:35:57,1,160737,"白いお芋！　ホクホクとした栗のようなサツマイモ(3㎏)黄金千貫(こがねせんがん)",1500,"鹿児島県鹿屋市","慣行栽培            ",1,26363,"ファーム薬師//薬師牛","no_GAP","no_Organic","no_NoPesticide","noJAS"
"39",2022-10-24 16:35:57,1,19082,"栄養価コンテスト10冠達成！旨み野菜セット【S】",1612,"長野県南佐久郡","農薬化学肥料不使用            ",193,20150,"のらくら農場","no_GAP","no_Organic","no_NoPesticide","noJAS"
"40",2022-10-24 16:35:57,1,88840,"農薬・化学肥料不使用-野菜の苦みがない！旬の野菜セット(約10点)",2500,"長野県上田市","農薬化学肥料不使用            ",118,24327,"松本農園","no_GAP","no_Organic","no_NoPesticide","noJAS"
"41",2022-10-24 16:35:57,1,100492,"【家計応援キャンペーン!!】見た目も可愛い♪カラフルミニトマト《合計1kg》",1000,"栃木県宇都宮市","農薬化学肥料不使用            ",28,21114,"フジワラアグリコルトゥーラ","no_GAP","no_Organic","no_NoPesticide","noJAS"
"42",2022-10-24 16:35:57,1,54449,"【北海道十勝産】かぼちゃ2個とじゃがいも5㎏のセット",2700,"北海道上川郡新得町","農薬化学肥料不使用            ",7,22670,"山田農場","no_GAP","no_Organic","no_NoPesticide","noJAS"
"43",2022-10-24 16:35:57,1,138870,"シャキシャキ食感でお料理にも合う！新鮮な緑豆根切りもやし(1kgx3パック)",1600,"三重県津市","慣行栽培            ",8,26211,"もやし・大豆もやし製造卸　小銭商店","no_GAP","no_Organic","no_NoPesticide","noJAS"
"44",2022-10-24 16:35:57,1,81129,"【訳あり】淡路島玉ねぎ「中生種」５kg　特別栽培　ひょうご安心ブランド認証取得",1480,"兵庫県南あわじ市","農薬節約栽培            ",113,20187,"ケンちゃんファーム","no_GAP","no_Organic","no_NoPesticide","noJAS"
"45",2022-10-24 16:35:57,1,162306,"さつまいも（紅はるか）【３週間ほど貯蔵済】Sサイズ　5kg",2200,"愛知県一宮市","慣行栽培            ",7,27476,"さかい農園","no_GAP","no_Organic","no_NoPesticide","noJAS"
"46",2022-10-24 16:35:57,1,44155,"生で食べられる！肉質にこだわった新鮮マッシュルーム!!",1600,"千葉県旭市","慣行栽培            ",140,20616,"きのこ屋でんべえ","no_GAP","no_Organic","no_NoPesticide","noJAS"
"47",2022-10-24 16:35:57,1,167008,"ガッツリ様向け<U+2763><U+FE0F>千葉県香取市産
あずまのおまけ付き<U+203C><U+FE0F>【紅はるか】5kg",1880,"千葉県香取市","慣行栽培            ",10,25460,"髙木貞一","no_GAP","no_Organic","no_NoPesticide","noJAS"
"48",2022-10-24 16:35:57,1,40731,"栄養価コンテスト10冠達成！旨み野菜セット【L】",3340,"長野県南佐久郡","農薬化学肥料不使用            ",117,20150,"のらくら農場","no_GAP","no_Organic","no_NoPesticide","noJAS"
"49",2022-10-24 16:35:57,1,117702,"【紅はるか】上品な甘さにしっとりした食感が美味しい深作農園のさつまいも（うすく土付き）【Mサイズ】【5kg】",2980,"茨城県鉾田市","農薬節約栽培            ",3,24266,"深作農園","no_GAP","no_Organic","no_NoPesticide","noJAS"
"50",2022-10-24 16:35:57,1,157793,"【40%割引中】高知県産ハウスの新生姜　2kg",912,"高知県土佐清水市","農薬節約栽培            ",20,25423,"坂本直幸","no_GAP","no_Organic","no_NoPesticide","noJAS"
"51",2022-10-24 16:35:57,1,165265,"【ベビーサイズ<U+2763><U+FE0F>】熟成1ヶ月超えでお届け！紅はるか（2kg）(茨城県産)・(サツマイモ)(Sサイズ)(土付き)",1200,"茨城県ひたちなか市","農薬節約栽培            ",6,22683,"二川農園","no_GAP","no_Organic","no_NoPesticide","noJAS"
